"Species","Common","IUIS Allergen","Type","Group*","Length","GI#@","First Version"
"Canis familiaris","Dog","Can f 3","Aero Animal","Canis Can f 3 Serum albumin","265","633938","7"
"Canis familiaris","Dog","Can f 3","Aero Animal","Canis Can f 3 Serum albumin","585","3319897","7"
"Canis familiaris","Dog","Can f 3.0101","Aero Animal","Canis Can f 3 Serum albumin","608","22531688","15"
"Canis familiaris","Dog","Can f 4.0101","Aero Animal","Canis Can f 4 epithelial 18 kDa","174","262232390","12"
"Canis familiaris","Dog","Unassigned","Aero Animal","Canis Can f 4 epithelial 18 kDa","174","625295108","16"
"Canis familiaris","Dog","Can f 5.0101","Aero Animal","Canis Can f 5","260","868","15"
"Canis familiaris","Dog","Can f 6.0101","Aero Animal","Canis Can f 6 Lipocalin","190","374092884","13"
"Cannabis sativa","Hemp","Can s 3.0101","Aero Plant","Cannabis LTP Can s 3","91","571256597","15"
"Capsicum annuum","Bell pepper","Cap a 1","Food Plant","Capsicum Cap a 1","246","16609959","7"
"Capsicum annuum","Bell pepper","Cap a 2","Food Plant","Capsicum Cap a 2","131","16555785","7"
"Carica papaya","Papaya","Unassigned","Food Plant","Carica Car p 1","345","129614","9"
"Carpinus betulus","Hornbeam","Car b 1.0102","Aero Plant","Carpinus Car b 1","159","402745","7"
"Carpinus betulus","Hornbeam","Car b 1.0103","Aero Plant","Carpinus Car b 1","160","1545875","7"
"Carpinus betulus","Hornbeam","Car b 1.0104","Aero Plant","Carpinus Car b 1","160","1545877","7"
"Carpinus betulus","Hornbeam","Car b 1.0105","Aero Plant","Carpinus Car b 1","160","1545879","7"
"Carpinus betulus","Hornbeam","Car b 1.0108","Aero Plant","Carpinus Car b 1","160","1545893","7"
"Carpinus betulus","Hornbeam","Car b 1.0301","Aero Plant","Carpinus Car b 1","161","1545895","7"
"Carpinus betulus","Hornbeam","Car b 1.0302","Aero Plant","Carpinus Car b 1","161","1545897","7"
"Carpinus betulus","Hornbeam","Unassigned","Aero Plant","Carpinus Car b 1","40","239735","7"
"Carpinus betulus","Hornbeam","Car b 1.0113","Aero Plant","Carpinus Car b 1","160","167472845","10"
"Carpinus betulus","Hornbeam","Car b 1.0109","Aero Plant","Carpinus Car b 1","160","167472837","10"
"Carpinus betulus","Hornbeam","Car b 1.0112","Aero Plant","Carpinus Car b 1","160","167472843","10"
"Carpinus betulus","Hornbeam","Car b 1.0111","Aero Plant","Carpinus Car b 1","160","167472841","10"
"Carpinus betulus","Hornbeam","Car b 1.0110","Aero Plant","Carpinus Car b 1","160","167472839","10"
"Carpinus betulus","Hornbeam","Unassigned","Aero Plant","Carpinus Car b 1","80","1008578","12"
"Carpinus betulus","Hornbeam","Unassigned","Aero Plant","Carpinus Car b 1","80","1008579","12"
"Carpinus betulus","Hornbeam","Unassigned","Aero Plant","Carpinus Car b 1","80","1008580","12"
"Carpinus betulus","Hornbeam","Car b 1.0101","Aero Plant","Carpinus Car b 1","159","402743","15"
"Carpinus betulus","Hornbeam","Car b 1.0106","Aero Plant","Carpinus Car b 1","160","1545881","15"
"Carpinus betulus","Hornbeam","Car b 1.0107","Aero Plant","Carpinus Car b 1","160","1545889","15"
"Carpinus betulus","Hornbeam","Car b 1.0201","Aero Plant","Carpinus Car b 1","159","402747","15"
"Carya illinoinensis","Pecan","Car i 1.0101","Food Plant","Carya Car i 1 Seed storage protein","143","28207731","7"
"Carya illinoinensis","Pecan","Car i 4.0101","Food Plant","Carya Car i 4 11s legumin","505","158998780","14"
"Carya illinoinensis","Pecan","Unassigned","Food Plant","Carya Car i 4 11s legumin","505","158998782","14"
"Caryota mitis","Fishtail Palm","Unassigned","Aero Plant","Caryota profilin","131","121277849","8"
"Castanea sativa","European chestnut","Cas s 1","Aero Plant","Castanea Cas s 1","160","16555781","7"
"Castanea sativa","European chestnut","Unassigned","Aero Plant","Castanea Cas s 1","159","212291466","10"
"Castanea sativa","European chestnut","Cas s 1.0101","Aero Plant","Castanea Cas s 1","159","212291464","10"
"Castanea sativa","European chestnut","Unassigned","Aero Plant","Castanea Cas s 1","159","212291468","10"
"Castanea sativa","European chestnut","Cas s 5","Food Plant","Castanea Cas s 5","316","1359600","7"
"Castanea sativa","European chestnut","Unassigned","Food Plant","Castanea Cas s 5","298","307159110","12"
"Catharanthus roseus","Madagascar periwinkle","Unassigned","Aero Plant","Catharanthus cyclophilin","178","659835152","16"
"Cavia porcellus","Domestic guinea pig","Cav p 1","Aero Animal","Cavia Cav p 1","15","32469617","7"
"Cavia porcellus","Domestic guinea pig","Cav p 2.0101","Aero Animal","Cavia Cav p 2","170","325910590","12"
"Cavia porcellus","Domestic guinea pig","Cav p 3.0101","Aero Animal","Cavia Cav p 3 lipocalin","170","325910592","12"
"Chamaecyparis obtusa","Japanese cypress","Cha o 1.0101","Aero Plant","Chamaecyparis Cha o 1","375","1514943","7"
"Chamaecyparis obtusa","Japanese cypress","Unassigned","Aero Plant","Chamaecyparis Cha o 2","514","47606004","7"
"Chamaecyparis obtusa","Japanese cypress","Unassigned","Aero Plant","Chamaecyparis Cha o 2","419","114841683","8"
"Charybdis feriatus","Crab","Cha f 1.0101","Food Animal","Charybdis Cha f 1","264","7024506","7"
"Chenopodium album","Pigweed","Che a 1","Aero Plant","Chenopodium Che a 1","168","22074346","7"
"Chenopodium album","Pigweed","Che a 2","Aero Plant","Chenopodium Che a 2","131","29465666","7"
"Chenopodium album","Pigweed","Unassigned","Aero Plant","Chenopodium Che a 2","133","238886048","11"
"Chenopodium album","Pigweed","Che a 3","Aero Plant","Chenopodium Che a 3","86","29465668","7"
"Chionoecetes opilio","Snow Crab","Unassigned","Food Animal","Chionoecetes tropomyosin","284","308191588","12"
"Chironomus kiiensis","Midge","Chi k 10","Aero Insect","Chironomus Chi k 10","285","7321108","7"
"Chironomus thummi thummi","Midge","Chi t 1.01","Aero Insect","Chironomus Chi t 1","151","121219","7"
"Chironomus thummi thummi","Midge","Chi t 1.02","Aero Insect","Chironomus Chi t 1","151","121227","7"
"Chironomus thummi thummi","Midge","Chi t 2.0101","Aero Insect","Chironomus Chi t 2","158","2506460","7"
"Chironomus thummi thummi","Midge","Chi t 3.0601","Aero Insect","Chironomus Chi t 3","161","56405052","7"
"Chironomus thummi thummi","Midge","Chi t 3.0901","Aero Insect","Chironomus Chi t 3","151","121237","7"
"Chironomus thummi thummi","Midge","Chi t 3.0501","Aero Insect","Chironomus Chi t 3","161","121244","7"
"Chironomus thummi thummi","Midge","Chi t 3.0701","Aero Insect","Chironomus Chi t 3","161","56405054","7"
"Chironomus thummi thummi","Midge","Chi t 3.0702","Aero Insect","Chironomus Chi t 3","161","121248","7"
"Chironomus thummi thummi","Midge","Chi t 3.0801","Aero Insect","Chironomus Chi t 3","162","121249","7"
"Chironomus thummi thummi","Midge","Chi t 3.0301","Aero Insect","Chironomus Chi t 3","161","56405306","7"
"Chironomus thummi thummi","Midge","Chi t 3.0101","Aero Insect","Chironomus Chi t 3","160","1707908","7"
"Chironomus thummi thummi","Midge","Chi t 3.0401","Aero Insect","Chironomus Chi t 3","161","1707911","7"
"Chironomus thummi thummi","Midge","Chi t 3.0201","Aero Insect","Chironomus Chi t 3","162","2506461","7"
"Chironomus thummi thummi","Midge","Chi t 4","Aero Insect","Chironomus Chi t 4","151","121256","7"
"Chironomus thummi thummi","Midge","Chi t 9","Aero Insect","Chironomus Chi t 9","151","121259","7"
"Citrus limon","Lemon","Cit l 3.0101","Food Plant","Citrus LTP Cit s 3/Cit l 3","20","52783176","7"
"Citrus sinensis","Navel orange","Cit s 1.0101","Food Plant","Citrus Cit s 1","25","52782810","7"
"Citrus sinensis","Navel orange","Cit s 2.0101","Food Plant","Citrus Cit s 2","131","56000996","7"
"Citrus sinensis","Navel orange","Unassigned","Food Plant","Citrus LTP Cit s 3/Cit l 3","20","52783177","7"
"Citrus sinensis","Navel orange","Cit s 3","Food Plant","Citrus LTP Cit s 3/Cit l 3","91","50199132","7"
"Cladosporium cladosporioides","Fungus","Cla c 14.0101","Aero Fungi","Cladosporium Cla c 14","325","301015198","15"
"Cladosporium cladosporioides","Fungus","Cla c 9.0101","Aero Fungi","Cladosporium Cla c 9 Davidiella","388","148361511","11"
"Clupea harengus","Atlantic herring","Clu h 1.0101","Food Animal","Clupea Clu h 1","109","242253963","11"
"Clupea harengus","Atlantic herring","Clu h 1.0201","Food Animal","Clupea Clu h 1","110","242253965","11"
"Clupea harengus","Atlantic herring","Clu h 1.0301","Food Animal","Clupea Clu h 1","109","242253967","11"
"Cochliobolus lunatus","Fungus","Cur l 3.0101","Aero Fungi","Cochliobolus (Curvularia) Cur l 3","108","14585755","15"
"Cochliobolus lunatus","Fungus","Cur l 2.01","Aero Fungi","Cochliobolus (Curvularia) enolase Cur l 2.01","440","14585753","8"
"Cochliobolus lunatus","Fungus","Cur l 4.0101","Aero Fungi","Curvularia Cur l 4","506","193507493","15"
"Coffea arabica","Coffee","Cof a 3.0101","Food Plant","Coffea  Cof a 3","65","494319676","15"
"Coffea arabica","Coffee","Cof a 1.0101","Food Plant","Coffea Cof a 1","263","296399179","15"
"Coffea arabica","Coffee","Cof a 2.0101","Food Plant","Coffea Cof a 2","80","494319674","15"
"Coprinus comatus","Shaggy mane","Cop c 1","Food Fungi","Coprinus Cop c 1","81","4538529","7"
"Corylus avellana","European hazelnut","Cor a 1.0103","Aero Plant","Corylus Cor a 1","160","22684","7"
"Corylus avellana","European hazelnut","Cor a 1.0104","Aero Plant","Corylus Cor a 1","160","22686","7"
"Corylus avellana","European hazelnut","Cor a 1.0102","Aero Plant","Corylus Cor a 1","160","22690","7"
"Corylus avellana","European hazelnut","Cor a 1.0201","Aero Plant","Corylus Cor a 1","160","1321731","7"
"Corylus avellana","European hazelnut","Cor a 1.0301","Aero Plant","Corylus Cor a 1","160","1321733","7"
"Corylus avellana","European hazelnut","Cor a 1.0401","Food Plant","Corylus Cor a 1","161","5726304","7"
"Corylus avellana","European hazelnut","Cor a 1.0402","Food Plant","Corylus Cor a 1","161","11762102","7"
"Corylus avellana","European hazelnut","Cor a 1.0403","Food Plant","Corylus Cor a 1","161","11762104","7"
"Corylus avellana","European hazelnut","Cor a 1.0404","Food Plant","Corylus Cor a 1","161","11762106","7"
"Corylus avellana","European hazelnut","Cor a 1.0101","Food Plant","Corylus Cor a 1","160","22688","15"
"Corylus avellana","European hazelnut","Cor a  11","Food Plant","Corylus Cor a 11","448","19338630","7"
"Corylus avellana","European hazelnut","Cor a 12.0101","Food Plant","Corylus Cor a 12","159","49617323","15"
"Corylus avellana","European hazelnut","Cor a 13.0101","Food Plant","Corylus Cor a 13 Oleosin","140","29170509","7"
"Corylus avellana","European hazelnut","Cor a 14.0101","Food Plant","Corylus Cor a 14 2S albumin","147","226437844","11"
"Corylus avellana","European hazelnut","Cor a 2.0101","Aero Plant","Corylus Cor a 2 profilins","131","12659206","7"
"Corylus avellana","European hazelnut","Cor a 2.0102","Aero Plant","Corylus Cor a 2 profilins","131","12659208","7"
"Corylus avellana","European hazelnut","Unassigned","Food Plant","Corylus Cor a 2 profilins","131","576017879","15"
"Corylus avellana","European hazelnut","Unassigned","Food Plant","Corylus Cor a 2 profilins","133","576017878","15"
"Corylus avellana","European hazelnut","Unassigned","Food Plant","Corylus Cor a 2 profilins","133","576017819","15"
"Corylus avellana","European hazelnut","Unassigned","Food Plant","Corylus Cor a 2 profilins","131","576017779","15"
"Corylus avellana","European hazelnut","Unassigned","Food Plant","Corylus Cor a 2 profilins","133","576017777","15"
"Corylus avellana","European hazelnut","Unassigned","Food Plant","Corylus Cor a 2 profilins","133","576017776","15"
"Corylus avellana","European hazelnut","Cor a 8","Food Plant","Corylus Cor a 8","115","13507262","7"
"Corylus avellana","European hazelnut","Unassigned","Aero Plant","Corylus Cor a 9","514","557792009","16"
"Corylus avellana","European hazelnut","Cor a 9","Food Plant","Corylus Cor a 9","515","18479082","7"
"Crangon crangon","Shrimp","Cra c 1.0101","Food Animal","Crangon Cra c 1 tropomyosin","284","238477263","12"
"Crangon crangon","Shrimp","Cra c 2.0101","Food Animal","Crangon Cra c 2 arginine kinase","356","238477265","12"
"Crangon crangon","Shrimp","Cra c 4.0101","Food Animal","Crangon Cra c 4 sarcoplasmic calcium-binding prote","193","238477327","12"
"Crangon crangon","Shrimp","Cra c 5.0101","Food Animal","Crangon Cra c 5 myosin light chain","153","238477331","12"
"Crangon crangon","Shrimp","Cra c 6.0101","Food Animal","Crangon Cra c 6 troponin C","150","238477333","12"
"Crangon crangon","Shrimp","Cra c 8.0101","Food Animal","Crangon Cra c 8 triosephosphate isomerase","249","238477329","12"
"Crassostrea gigas","American  oyster","Unassigned","Food Animal","Crassostrea Tropomyosin","233","15419048","7"
"Crassostrea gigas","American  oyster","Unassigned","Food Animal","Crassostrea Tropomyosin","284","219806594","10"
"Crassostrea virginica","Eastern oyster","Unassigned","Food Animal","Crassostrea Tropomyosin","160","3668408","7"
"Crocus sativus","Saffron crocus","Cro s 2.0101","Aero Plant","Crocus profilin Cro s 2","131","58700651","7"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria class IV chitinase","281","56550550","7"
"Cryptomeria japonica","Japanese cedar","Cry j 1.0102","Aero Plant","Cryptomeria Cry j 1","374","493634","8"
"Cryptomeria japonica","Japanese cedar","Cry j 1.0101","Aero Plant","Cryptomeria Cry j 1","374","493632","15"
"Cryptomeria japonica","Japanese cedar","Cry j 1.0103","Aero Plant","Cryptomeria Cry j 1","374","516728","15"
"Cryptomeria japonica","Japanese cedar","Cry j 2","Aero Plant","Cryptomeria Cry j 2","514","1171004","7"
"Cryptomeria japonica","Japanese cedar","Cry j 2","Aero Plant","Cryptomeria Cry j 2","514","24898904","7"
"Cryptomeria japonica","Japanese cedar","Cry j 2","Aero Plant","Cryptomeria Cry j 2","514","24898906","7"
"Cryptomeria japonica","Japanese cedar","Cry j 2","Aero Plant","Cryptomeria Cry j 2","514","24898908","7"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria Cry j 2","514","114841607","8"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria Cry j 2","514","114841617","8"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria Cry j 2","514","114841629","8"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria Cry j 2","514","114841635","8"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria Cry j 2","514","114841641","8"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria Cry j 2","514","114841653","8"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria Cry j 2","514","114841657","8"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria Cry j 2","514","114841663","8"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria Cry j 2","514","114841665","8"
"Cryptomeria japonica","Japanese cedar","Cry j 2.0101","Aero Plant","Cryptomeria Cry j 2","514","506858","9"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria Cry j 2","65","123299282","9"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria Isoflavone reductase-like protein","306","19847822","7"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria pollen allergen CJP-8","165","291621332","12"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria pollen allergen CPA63","472","293329689","12"
"Cryptomeria japonica","Japanese cedar","Unassigned","Aero Plant","Cryptomeria thaumatin like Cry j 3.8","225","139002766","8"
"Cucumis melo","Muskmelon","Cuc m 1","Food Plant","Cucumis Cuc m 1","731","807698","7"
"Cucumis melo","Muskmelon","Unassigned","Food Plant","Cucumis Cuc m 2","131","31559374","7"
"Cucumis melo","Muskmelon","Cuc m 2","Food Plant","Cucumis Cuc m 2","131","58263793","7"
"Cucumis melo","Muskmelon","Cuc m 3.0101","Food Plant","Cucumis Cuc m 3","41","46396595","9"
"Cucumis melo var. inodorus","Muskmelon","Unassigned","Food Plant","Cucumis Cuc m 3","151","171464770","9"
"Cucumis melo var. reticulatus","Netted muskmelon","Unassigned","Food Plant","Cucumis Cuc m 2","131","57021110","7"
"Cupressus arizonica","Arizona Cypress","Cup a 1","Aero Plant","Cupressus Cup a 1/Cup s 1","346","6562326","7"
"Cupressus arizonica","Arizona Cypress","Cup a 1","Aero Plant","Cupressus Cup a 1/Cup s 1","367","19069497","7"
"Cupressus arizonica","Arizona Cypress","Unassigned","Aero Plant","Cupressus Cup a 1/Cup s 1","347","118197955","8"
"Cupressus arizonica","Arizona Cypress","Unassigned","Aero Plant","Cupressus Cup a 4","165","261865475","11"
"Cupressus arizonica","Arizona Cypress","Unassigned","Aero Plant","Cupressus Cup s 3","199","9929163","7"
"Cupressus sempervirens","Mediterranean Cypress","Cup s 1.0101","Aero Plant","Cupressus Cup a 1/Cup s 1","367","8101711","7"
"Cupressus sempervirens","Mediterranean Cypress","Cup s 1.0102","Aero Plant","Cupressus Cup a 1/Cup s 1","367","8101713","7"
"Cupressus sempervirens","Mediterranean Cypress","Cup s 1.0103","Aero Plant","Cupressus Cup a 1/Cup s 1","367","8101715","7"
"Cupressus sempervirens","Mediterranean Cypress","Cup s 1.0104","Aero Plant","Cupressus Cup a 1/Cup s 1","367","8101717","7"
"Cupressus sempervirens","Mediterranean Cypress","Cup s 1.0105","Aero Plant","Cupressus Cup a 1/Cup s 1","367","8101719","7"
"Cupressus sempervirens","Mediterranean Cypress","Cup s 3.0102","Aero Plant","Cupressus Cup s 3","225","38456228","7"
"Cupressus sempervirens","Mediterranean Cypress","Cup s 3.0101","Aero Plant","Cupressus Cup s 3","225","38456226","11"
"Cynodon dactylon","Bermuda grass","Cyn d 1","Aero Plant","Cynodon Cyn d 1","25","451274","7"
"Cynodon dactylon","Bermuda grass","Cyn d 1","Aero Plant","Cynodon Cyn d 1","38","451275","7"
"Cynodon dactylon","Bermuda grass","Cyn d 1","Aero Plant","Cynodon Cyn d 1","34","691726","7"
"Cynodon dactylon","Bermuda grass","Cyn d 1.0204","Aero Plant","Cynodon Cyn d 1","244","10314021","7"
"Cynodon dactylon","Bermuda grass","Cyn d 1.0201","Aero Plant","Cynodon Cyn d 1","244","15384338","7"
"Cynodon dactylon","Bermuda grass","Cyn d 1.0202","Aero Plant","Cynodon Cyn d 1","262","16076693","7"
"Cynodon dactylon","Bermuda grass","Cyn d 1","Aero Plant","Cynodon Cyn d 1","262","16076695","7"
"Cynodon dactylon","Bermuda grass","Cyn d 1.0203","Aero Plant","Cynodon Cyn d 1","262","16076697","7"
"Cynodon dactylon","Bermuda grass","Cyn d 1.0101","Aero Plant","Cynodon Cyn d 1","246","7687901","10"
"Cynodon dactylon","Bermuda grass","Cyn d 12","Aero Plant","Cynodon Cyn d 12","131","2154730","7"
"Cynodon dactylon","Bermuda grass","Unassigned","Aero Plant","Cynodon Cyn d 7","71","1247373","7"
"Cynodon dactylon","Bermuda grass","Unassigned","Aero Plant","Cynodon Cyn d 7","73","1247375","7"
"Cynodon dactylon","Bermuda grass","Cyn d 7","Aero Plant","Cynodon Cyn d 7","82","1871507","7"
"Cynodon dactylon","Bermuda grass","Unassigned","Aero Plant","Cynodon Group 4 like-allergen FAD-linked oxidoredu","522","41393750","7"
"Cyprinus carpio","Carp","Cyp c 1.0101","Food Animal","Cyprinus Cyp c 1 Parvalbumin","109","17977825","7"
"Cyprinus carpio","Carp","Cyp c 1.0201","Food Animal","Cyprinus Cyp c 1 Parvalbumin","109","17977827","7"
"Dactylis glomerata","Orchard grass","Dac g 1","Aero Plant","Dactylis Dac g 1","264","18093991","7"
"Dactylis glomerata","Orchard grass","Dac g 1.0101","Aero Plant","Dactylis Dac g 1","240","33149333","7"
"Dactylis glomerata","Orchard grass","Dac g 2","Aero Plant","Dactylis Dac g 2","196","1093120","7"
"Dactylis glomerata","Orchard grass","Dac g 2","Aero Plant","Dactylis Dac g 2","122","4007040","7"
"Dactylis glomerata","Orchard grass","Dac g 3","Aero Plant","Dactylis Dac g 3","96","1825459","7"
"Dactylis glomerata","Orchard grass","Dac g 4.0101","Aero Plant","Dactylis Dac g 4","55","32363463","9"
"Dactylis glomerata","Orchard grass","Dac g 5","Aero Plant","Dactylis Dac g 5","290","14423124","7"
"Dactylis glomerata","Orchard grass","Dac g 5","Aero Plant","Dactylis Dac g 5","265","18093971","7"
"Daucus carota","Carrot","Unassigned","Food Plant","Daucus cyclophilin","171","373939374","13"
"Daucus carota","Carrot","Dau c 1.0101","Food Plant","Daucus Dau c 1","168","1335877","7"
"Daucus carota","Carrot","Dau c 1.0102","Food Plant","Daucus Dau c 1","154","1663522","7"
"Daucus carota","Carrot","Dau c 1.0103","Food Plant","Daucus Dau c 1","154","2154732","7"
"Daucus carota","Carrot","Dau c 1.0104","Food Plant","Daucus Dau c 1","154","2154734","7"
"Daucus carota","Carrot","Dau c 1.0105","Food Plant","Daucus Dau c 1","154","2154736","7"
"Daucus carota","Carrot","Dau c 1.0201","Food Plant","Daucus Dau c 1","154","18652047","7"
"Daucus carota","Carrot","Unassigned","Food Plant","Daucus Dau c 1","154","19912791","7"
"Daucus carota","Carrot","Dau c 1.0301","Food Plant","Daucus Dau c 1","154","302379147","12"
"Daucus carota","Carrot","Unassigned","Food Plant","Daucus Dau c 1","154","302379149","12"
"Daucus carota","Carrot","Unassigned","Food Plant","Daucus Dau c 1","154","302379151","12"
"Daucus carota","Carrot","Unassigned","Food Plant","Daucus Dau c 1","154","302379153","12"
"Daucus carota","Carrot","Unassigned","Food Plant","Daucus Dau c 1","154","302379155","12"
"Daucus carota","Carrot","Unassigned","Food Plant","Daucus Dau c 1","154","302379157","12"
"Daucus carota","Carrot","Unassigned","Food Plant","Daucus Dau c 1","154","302379159","12"
"Daucus carota","Carrot","Dau c 4","Food Plant","Daucus Dau c 4","134","18652049","7"
"Daucus carota","Carrot","Dau c 5.0101","Food Plant","Daucus Dau c 5 isoflavone reductase","306","373939378","13"
"Daucus carota","Carrot","Unassigned","Food Plant","Daucus Dau c 5 isoflavone reductase","306","373939376","13"
"Davidiella tassiana","Fungus","Cla h 10","Aero Fungi","Cladosporium / Davidiella Cla h 10","496","76666769","7"
"Davidiella tassiana","Fungus","Cla h 5.0101","Aero Fungi","Cladosporium / Davidiella Cla h 5","111","5777795","10"
"Davidiella tassiana","Fungus","Cla h 6","Aero Fungi","Cladosporium / Davidiella Cla h 6","440","467660","7"
"Davidiella tassiana","Fungus","Cla h 6","Aero Fungi","Cladosporium / Davidiella Cla h 6","440","6015094","7"
"Davidiella tassiana","Fungus","Cla h 7.0101","Aero Fungi","Cladosporium / Davidiella Cla h 7","204","467629","10"
"Davidiella tassiana","Fungus","Cla h 8.0101","Aero Fungi","Cladosporium / Davidiella Cla h 8","267","37780015","8"
"Davidiella tassiana","Fungus","Cla h 9.0101","Aero Fungi","Cladosporium / Davidiella Cla h 9 vacuolar serine","518","60116876","10"
"Davidiella tassiana","Fungus","Unassigned","Aero Fungi","Cladosporium / Davidiella Heat shock 70 kDa protei","643","729764","7"
"Davidiella tassiana","Fungus","Unassigned","Aero Fungi","Cladosporium / Davidiella Hydrophobin","105","22796153","7"
"Davidiella tassiana","Fungus","Unassigned","Aero Fungi","Cladosporium / Davidiella putative hydrolase","274","76446100","10"
"Davidiella tassiana","Fungus","Unassigned","Aero Fungi","Cladosporium / Davidiella Putative nuclear transpo","125","21748151","7"
"Dermatophagoides farinae","House dust mite","Der f 13.0101","Aero Mite","Dermatophagoides Der f 13","131","37958167","11"
"Dermatophagoides farinae","House dust mite","Der f 15","Aero Mite","Dermatophagoides Der f 15 Der p 15","555","5815436","7"
"Dermatophagoides farinae","House dust mite","Der f 16","Aero Mite","Dermatophagoides Der f 16","480","21591547","7"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der f 20 / Der p 20","356","37785884","8"
"Dermatophagoides farinae","House dust mite","Der f 20.0201","Aero Mite","Dermatophagoides Der f 20 / Der p 20","356","156938897","9"
"Dermatophagoides farinae","House dust mite","Der f 20.0101","Aero Mite","Dermatophagoides Der f 20 / Der p 20","356","685432792","15"
"Dermatophagoides farinae","House dust mite","Der f 24.0101","Aero Mite","Dermatophagoides Der f 24 and Der p 24 Ubiquinol","118","477541860","14"
"Dermatophagoides farinae","House dust mite","Der f 25.0101","Aero Mite","Dermatophagoides Der f 25","247","442565872","14"
"Dermatophagoides farinae","House dust mite","Der f 25.0201","Aero Mite","Dermatophagoides Der f 25","247","685432812","15"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der f 27","427","37958175","8"
"Dermatophagoides farinae","House dust mite","Der f 27.0101","Aero Mite","Dermatophagoides Der f 27","427","685432794","15"
"Dermatophagoides farinae","House dust mite","Der f 28.0101","Aero Mite","Dermatophagoides Der f 28","659","442565876","14"
"Dermatophagoides farinae","House dust mite","Der f 28.0201","Aero Mite","Dermatophagoides Der f 28","654","685432788","15"
"Dermatophagoides farinae","House dust mite","Der f 29.0101","Aero Mite","Dermatophagoides Der f 29","164","37958141","8"
"Dermatophagoides farinae","House dust mite","Der f 30.0101","Aero Mite","Dermatophagoides Der f 30","171","442565878","14"
"Dermatophagoides farinae","House dust mite","Der f 1","Aero Mite","Dermatophagoides Der p 1 Der f 1 Der m 1","321","730035","7"
"Dermatophagoides farinae","House dust mite","Der f 1.0101","Aero Mite","Dermatophagoides Der p 1 Der f 1 Der m 1","321","27530349","7"
"Dermatophagoides farinae","House dust mite","Der f 1.0102","Aero Mite","Dermatophagoides Der p 1 Der f 1 Der m 1","276","76097507","7"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 1 Der f 1 Der m 1","321","156106765","9"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 1 Der f 1 Der m 1","263","37958161","12"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 1 Der f 1 Der m 1","305","387178006","13"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 1 Der f 1 Der m 1","303","305387429","15"
"Dermatophagoides farinae","House dust mite","Der f 1.0108","Aero Mite","Dermatophagoides Der p 1 Der f 1 Der m 1","321","119633260","15"
"Dermatophagoides farinae","House dust mite","Der f 1.0109","Aero Mite","Dermatophagoides Der p 1 Der f 1 Der m 1","321","119633262","15"
"Dermatophagoides farinae","House dust mite","Der f 1.0110","Aero Mite","Dermatophagoides Der p 1 Der f 1 Der m 1","321","119633264","15"
"Dermatophagoides farinae","House dust mite","Der f 10.0101","Aero Mite","Dermatophagoides Der p 10 / Der f 10","299","1359436","7"
"Dermatophagoides farinae","House dust mite","Der f 11","Aero Mite","Dermatophagoides Der p 11 / Der f 11","692","13785807","7"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 11 / Der f 11","876","685432820","16"
"Dermatophagoides farinae","House dust mite","Unassigned","Aero Mite","Dermatophagoides Der p 14 / Der f 14","341","729979","7"
"Dermatophagoides farinae","House dust mite","Der f 14.0101","Aero Mite","Dermatophagoides Der p 14 / Der f 14","349","1545803","7"
"Dermatophagoides farinae","House dust mite","Der f 2.0102","Aero Mite","Dermatophagoides Der p 2 / Der f 2","146","217306","7"
"Dermatophagoides farinae","House dust mite","Der f 2.0103","Aero Mite","Dermatophagoides Der p 2 / Der f 2","138","217308","7"
"Dermatophagoides farinae","House dust mite","Der f 2.0105","Aero Mite","Dermatophagoides Der p 2 / Der f 2","129","17978844","7"
